,phone,word
335,aj n̩,"['eien', 'aien', 'eihen']"
336,aj p,"['eib', 'eip']"
337,aj s b a x,"['eißbach', 'eisbach']"
338,aj s l,"['eißel', 'eisl']"
339,aj s l ɐ,"['eisler', 'eissler', 'eißler']"
340,aj s n ɐ,"['eisner', 'eißner']"
341,aj s n̩ b a x,"['eissenbach', 'eißenbach']"
342,aj s t,"['eist', 'aißt', 'eißt']"
343,aj s ɐ,"['eißer', 'eisser', 'eißner']"
344,aj t l ɪ ŋ,"['eidling', 'eitling']"
345,aj t ɡ ə n œ s ɪ ʃ ə,"['eitgenössische', 'eidgenössische']"
346,aj ts,"['eitz', 'eiz', 'aitz']"
347,aj tʰ l̩,"['cheitel', 'eitel']"
348,aj tʰ n̩,"['aiten', 'eiten', 'ayton']"
349,aj tʰ n̩ l aː ɡ ə,"['eitenlage', 'aitenlage']"
350,aj tʰ n̩ v ɛ n d ə,"['eitenwende', 'eitenwände']"
351,aj tʰ oː n,"['eighton', 'ayton']"
352,aj tʰ ɐ,"['eiter', 'ighter', 'either']"
353,aj tʰ ɐ n,"['cheitern', 'eiteren', 'eitern']"
354,aj tʰ ɐ s,"['ighters', 'eiters']"
355,aj tʰ ə,"['aite', 'eite', 'eithe']"
356,aj tʰ ɪ,"['aiti', 'eiti']"
357,aj z a,"['aisa', 'eisa']"
358,aj z l̩,"['eisel', 'aisel', 'eisl']"
359,aj z ɐ,"['ayser', 'aiser', 'eiser']"
360,aj z ə,"['aise', 'eise']"
361,aj ç a ʁ t,"['eichard', 'eichardt']"
362,aj ɐ n,"['eiern', 'ayern', 'cheyern']"
363,aj ɐ s,"['eyers', 'eihers', 'ayers']"
364,aj ɔ,"['aiho', 'oyaux', 'aio']"
365,aj ə,"['eihe', 'aie']"
366,aj ɡ aː b n̩,"['eihgaben', 'eigaben']"
367,aj ɡ n eː tʰ ə,"['eignete', 'eeignete']"
368,aj ɪ,"['ailey', 'ayley', 'ayi']"
369,aj ʁ a,"['aira', 'eira']"
370,aj ʁ aː t,"['eirat', 'ailroad']"
371,aj ʁ t,"['eird', 'aird']"
372,aj ʁ ɪ ʃ,"['ayerisch', 'ayrisch']"
373,aj ʁ ɪ ʃ n̩,"['ayerischen', 'airischen']"
374,aj ʁ ɪ ʃ ə,"['ayrische', 'ayerische']"
375,aj ʃ ɪ,"['eishi', 'aishi']"
376,aw aː,"['iowa', 'owa']"
377,aw b ə,"['aupterbe', 'aube']"
378,aw d a,"['auda', 'ouda']"
379,aw f,"['auf', 'auff', 'aufs']"
380,aw f l iː ç t,"['aufliegt', 'auffliegt']"
381,aw f m a n,"['aufman', 'aufmann']"
382,aw f v ɛ n d ɪ k,"['aufwändig', 'aufwendig']"
384,aw f v ɛ n d ɪ ɡ n̩,"['aufwändigen', 'aufwendigen']"
385,aw f v ɛ n d ɪ ɡ ɐ,"['aufwändiger', 'aufwendiger']"
386,aw f v ɛ n d ɪ ɡ ə,"['aufwändige', 'aufwendige']"
387,aw k,"['auk', 'auck']"
388,aw l,"['oul', 'aul']"
389,aw l iː n,"['oulin', 'aulin']"
390,aw l s,"['ouls', 'auls']"
391,aw l t,"['ould', 'ault']"
392,aw l ə,"['oule', 'aule', 'aulle']"
393,aw m a n,"['auptmann', 'aumann']"
394,aw m b ʊ ʁ k,"['chaumburg', 'aumburg']"
395,aw n,"['own', 'ound', 'aun']"
396,aw n s,"['ounce', 'owns']"
397,aw n ɐ,"['owner', 'aunder']"
398,aw n ə,"['aune', 'eaune']"
399,aw p l a ts,"['chauplatz', 'auplatz']"
400,aw p t ʃ t ʁ aː s ə,"['auptstrasse', 'auptstraße']"
401,aw s n̩,"['ußen', 'außen', 'ausen']"
402,aw s z eː n̩,"['aussähen', 'aussehen']"
403,aw s ɐ d m̩,"['außerdem', 'ußerdem', 'ausserdem']"
404,aw s ɐ h a l p,"['außerhalb', 'ußerhalb', 'ausserhalb']"
405,aw s ɐ ɔ ʁ d ə n t l ɪ ç,"['ausserordentlich', 'außerordentlich']"
406,aw s ɐ ɔ ʁ d ə n t l ɪ ç ə,"['außerordentliche', 'ußerordentliche']"
407,aw s ɐ ɡ ə v øː n l ɪ ç,"['außergewöhnlich', 'ußergewöhnlich']"
408,aw s ə,"['ause', 'uße']"
409,aw s ə n pʰ ɔ l iː tʰ ɪ ʃ,"['außenpolitisch', 'ußenpolitisch']"
411,aw s ʃ l iː s l ɪ ç,"['ausschließlich', 'ausschliesslich']"
412,aw tʰ aj l,"['auteil', 'auptteil']"
413,aw tʰ aj l s,"['auteils', 'auptteils']"
414,aw tʰ eː tʰ ɪ ç kʰ aj t,"['autätigkeit', 'aupttätigkeit']"
415,aw tʰ n̩,"['outen', 'auten']"
416,aw tʰ oː ɐ,"['outor', 'aupttor']"
417,aw tʰ ɐ,"['auter', 'aughter', 'outer']"
418,aw tʰ ɔ b ɪ ɔ ɡ ʁ aː f ɪ ʃ ə,"['autobiografische', 'autobiographische']"
419,aw tʰ ə,"['aute', 'oute']"
420,aw x,"['auch', 'oug']"
421,aw z oː n,"['awson', 'owson']"
