,phone,word
232,a j t m a n,"['itmann', 'itman']"
233,a j t ɔ̃,"['aytheon', 'ailleton']"
234,a j œ l,"['ayeul', 'ailleul', 'aïeul']"
235,a j ɔ,"['icó', 'ászló']"
236,a j ɔ n,"['aïon', 'aione']"
237,a j ɔ ʁ,"['aior', 'ayor']"
238,a j ɛ l,"['ayel', 'ayl']"
239,a j ɛ t,"['ayettes', 'aillette', 'ahiette']"
240,a k a d e m i,"['académies', 'académie']"
241,a k a d e m i k,"['académique', 'académiques']"
242,a k a d e m i s j ɛ̃,"['académiciens', 'académicien']"
243,a k a d j ɛ̃,"['akkadiens', 'acadien']"
244,a k a k,"['achach', 'achac']"
245,a k a k a,"['aqqa', 'achacha']"
246,a k a l a,"['accala', 'akala']"
247,a k a l o,"['akalo', 'acquesallot']"
248,a k a m,"['acam', 'ackham']"
249,a k a n o,"['akano', 'acanau']"
250,a k a t a,"['akatta', 'akaata', 'akata']"
251,a k a ʁ a,"['aqqarah', 'akara', 'accarat']"
252,a k a ʁ e,"['akaré', 'akarneh']"
253,a k a ʁ i,"['akari', 'accharie', 'acharie']"
254,a k a ʁ j ɑ,"['acarias', 'acharias']"
255,a k c i,"['atkowski', 'akki', 'akowski']"
256,a k l,"['ackle', 'aquel']"
257,a k l a m e,"['acclamée', 'acclamé', 'acclamés']"
258,a k l a v s,"['aclav', 'áclav']"
259,a k l n a ʁ œ l,"['arcqenaroeul', 'arcqenarœul']"
261,a k l ɛ̃,"['aclyn', 'acquelin']"
262,a k m a n,"['achmann', 'achman']"
263,a k n a,"['acna', 'akkena']"
264,a k o n,"['ackhausen', 'akone']"
265,a k o t e,"['àcôté', 'àcôtés']"
266,a k s e,"['axée', 'axé']"
267,a k s e l e ʁ e,"['accélérer', 'accélérée', 'accéléré']"
268,a k s e l ɛ ʁ,"['accélère', 'accélèrent']"
269,a k s i d ɑ̃,"['accident', 'accidents']"
270,a k s i d ɑ̃ t e,"['accidenté', 'accidentée', 'accidentés']"
271,a k s i d ɑ̃ t ɛ l,"['accidentelles', 'accidentel', 'accidentelle']"
272,a k s i m,"['axime', 'axim']"
273,a k s j ɔ n ɛ ʁ,"['actionnaire', 'actionnaires']"
274,a k s j ɔ̃,"['eaction', 'action', 'actions']"
275,a k s p i ʁ,"['hakspeare', 'hakespeare']"
277,a k s ɑ̃,"['accents', 'accent']"
278,a k s ɑ̃ t ɥ,"['accentuent', 'accentue']"
279,a k s ɑ̃ t ɥ e,"['accentuer', 'accentuée']"
